S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party
129,Nabarangpur(12),BALABHADRA MAJHI,481396,87536,BJP
130,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371,BJP
131,Cuttack(14),BHARTRUHARI MAHTAB,531601,57077,BJP
132,Kendrapara(15),BAIJAYANT PANDA,615705,66536,BJP
133,Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696,BJP
134,Puri(17),SAMBIT PATRA,629330,104709,BJP
135,Bhubaneswar(18),APARAJITA SARANGI,512519,35152,BJP
136,Aska(19),ANITA SUBHADARSHINI,494226,99974,BJP
137,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476,BJP
138,BIKANER (2),ARJUN RAM MEGHWAL,566737,55711,BJP
139,JAIPUR RURAL(6),RAO RAJENDRA SINGH,617877,1615,BJP
140,JAIPUR(7),MANJU SHARMA,886850,331767,BJP
141,ALWAR(8),BHUPENDER YADAV,631992,48282,BJP
142,AJMER (13),BHAGIRATH CHOUDHARY,747462,329991,BJP
143,PALI(15),P. P. CHAUDHARY,757389,245351,BJP
144,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,730056,115677,BJP
145,JALORE (18),LUMBARAM,796783,201543,BJP
146,UDAIPUR (19),MANNA LAL RAWAT,738286,261608,BJP
147,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877,BJP
148,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223,BJP
149,BHILWARA(23),DAMODAR AGARWAL,807640,354606,BJP
150,KOTA(24),OM BIRLA,750496,41974,BJP
151,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989,BJP
152,Tripura West(1),BIPLAB KUMAR DEB,881341,611578,BJP
153,Tripura East(2),KRITI DEVI DEBBARMAN,777447,486819,BJP
154,Amroha(9),KANWAR SINGH TANWAR,476506,28670,BJP
155,Meerut(10),ARUN GOVIL,546469,10585,BJP
156,Ghaziabad(12),ATUL GARG,854170,336965,BJP
157,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829,559472,BJP
158,Bulandshahr(14),DR BHOLA SINGH,597310,275134,BJP
159,Aligarh(15),SATISH KUMAR GAUTAM,501834,15647,BJP
160,Hathras(16),ANOOP PRADHAN BALMIKI,554746,247318,BJP
161,Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064,293407,BJP
162,Agra(18),PROF S P SINGH BAGHEL,599397,271294,BJP
163,Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657,43405,BJP
164,Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127,34804,BJP
165,Pilibhit(26),JITIN PRASADA,607158,164935,BJP
166,Shahjahanpur(27),ARUN KUMAR SAGAR,592718,55379,BJP
167,Hardoi(31),JAI PRAKASH,486798,27856,BJP
168,Misrikh(32),ASHOK KUMAR RAWAT,475016,33406,BJP
169,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818,BJP
170,Lucknow(35),RAJ NATH SINGH,612709,135159,BJP
171,Farrukhabad(40),MUKESH RAJPUT,487963,2678,BJP
172,Kanpur(43),RAMESH AWASTHI,443055,20968,BJP
173,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345,BJP
174,Jhansi(46),ANURAG SHARMA,690316,102614,BJP
175,Phulpur(51),PRAVEEN PATEL,452600,4332,BJP
176,Baharaich(56),ANAND KUMAR,518802,64227,BJP
177,Kaiserganj(57),KARAN BHUSHAN SINGH,571263,148843,BJP
178,Gonda(59),KIRTIVARDHAN SINGH,474258,46224,BJP
179,Domariyaganj(60),JAGDAMBIKA PAL,463303,42728,BJP
180,Maharajganj(63),PANKAJ CHAUDHARY,591310,35451,BJP
181,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526,BJP
182,Kushi Nagar(65),VIJAY KUMAR DUBAY,516345,81790,BJP
183,Deoria(66),SHASHANK MANI,504541,34842,BJP
184,Bansgaon(67),KAMLESH PASWAN,428693,3150,BJP
185,Varanasi(77),NARENDRA MODI,612970,152513,BJP
186,Bhadohi(78),DR. VINOD KUMAR BIND,459982,44072,BJP
187,Alipurduars(2),MANOJ TIGGA,695314,75447,BJP
188,Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568,86693,BJP
189,Darjeeling(4),RAJU BISTA,679331,178525,BJP
190,Raiganj(5),KARTICK CHANDRA PAUL,560897,68197,BJP
191,Balurghat(6),SUKANTA MAJUMDAR,574996,10386,BJP
192,Maldaha Uttar(7),KHAGEN MURMU,527023,77708,BJP
193,Ranaghat(13),JAGANNATH SARKAR,782396,186899,BJP
194,Bangaon(14),SHANTANU THAKUR,719505,73693,BJP
195,Tamluk(30),ABHIJIT GANGOPADHYAY,765584,77733,BJP
196,Kanthi(31),ADHIKARI SOUMENDU,763195,47764,BJP
197,Purulia(35),JYOTIRMAY SINGH MAHATO,578489,17079,BJP
198,Bishnupur(37),KHAN SAUMITRA,680130,5567,BJP
199,SURGUJA(1),CHINTAMANI MAHARAJ,713200,64822,BJP
200,RAIGARH(2),RADHESHYAM RATHIYA,808275,240391,BJP
201,JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199,60000,BJP
202,BILASPUR(5),TOKHAN SAHU,724937,164558,BJP
203,RAJNANDGAON(6),SANTOSH PANDEY,712057,44411,BJP
204,DURG(7),VIJAY BAGHEL,956497,438226,BJP
205,RAIPUR(8),BRIJMOHAN AGRAWAL,1050351,575285,BJP
206,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659,145456,BJP
207,BASTAR(10),MAHESH KASHYAP,458398,55245,BJP
208,KANKER(11),BHOJRAJ NAG,597624,1884,BJP
209,Godda(3),NISHIKANT DUBEY,693140,101813,BJP
210,Chatra(4),KALI CHARAN SINGH,574556,220959,BJP
211,Kodarma(5),ANNPURNA DEVI,791657,377014,BJP
212,Dhanbad(7),DULU MAHATO,789172,331583,BJP
213,Ranchi(8),SANJAY SETH,664732,120512,BJP
214,Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782,BJP
215,Palamau(13),VISHNU DAYAL RAM,770362,288807,BJP
216,Hazaribagh(14),MANISH JAISWAL,654613,276686,BJP
217,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603,272493,BJP
218,Garhwal(2),ANIL BALUNI,432159,163503,BJP
219,Almora(3),AJAY TAMTA,429167,234097,BJP
220,Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671,334548,BJP
221,Haridwar(5),TRIVENDRA SINGH RAWAT,653808,164056,BJP
222,Adilabad (1),GODAM NAGESH,568168,90652,BJP
223,Karimnagar (3),BANDI SANJAY KUMAR,585116,225209,BJP
224,Nizamabad(4),ARVIND DHARMAPURI,592318,109241,BJP
225,Medak(6),MADHAVANENI RAGHUNANDAN RAO,471217,39139,BJP
226,Malkajgiri(7),EATALA RAJENDER,991042,391475,BJP
227,Secunderabad(8),G. KISHAN REDDY,473012,49944,BJP
228,Chevella(10),KONDA VISHWESHWAR REDDY,809882,172897,BJP
229,Mahbubnagar(11),ARUNA. D. K,510747,4500,BJP
230,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396,BJP
231,Dadar & Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074,57584,BJP
232,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325,BJP
233,North-East Delhi(2),MANOJ TIWARI,824451,138778,BJP
234,East Delhi(3),HARSH MALHOTRA,664819,93663,BJP
235,New Delhi(4),BANSURI SWARAJ,453185,78370,BJP
236,North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849,BJP
237,West Delhi(6),KAMALJEET SEHRAWAT,842658,199013,BJP
238,South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333,BJP
239,UDHAMPUR(4),DR JITENDRA SINGH,571076,124373,BJP
240,JAMMU(5),JUGAL KISHORE,687588,135498,BJP
241,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476,INC
242,Nagaon(9),PRADYUT BORDOLOI,788850,212231,INC
243,Jorhat(14),GAURAV GOGOI,751771,144393,INC
244,Kishanganj(10),MOHAMMAD JAWED,402850,59692,INC
245,Katihar(11),TARIQ ANWAR,567092,49863,INC
246,Sasaram(34),MANOJ KUMAR,513004,19157,INC
247,South Goa(2),CAPTAIN  VIRIATO FERNANDES,217836,13535,INC
248,Banaskantha(2),GENIBEN NAGAJI THAKOR,671883,30406,INC
249,AMBALA(1),VARUN CHAUDHRY,663657,49036,INC
250,SIRSA(3),SELJA,733823,268497,INC
251,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,570424,63381,INC
252,SONIPAT(6),SATPAL BRAHAMCHARI,548682,21816,INC
253,ROHTAK(7),DEEPENDER SINGH HOODA,783578,345298,INC
254,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834,INC
255,Gulbarga(5),RADHAKRISHNA,652321,27205,INC
256,Raichur(6),G. KUMAR NAIK.,670966,79781,INC
257,Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875,INC
258,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357,INC
259,Bellary(9),E. TUKARAM,730845,98992,INC
260,Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094,INC
261,Hassan(16),SHREYAS. M. PATEL,672988,42649,INC
262,Chamarajanagar(22),SUNIL BOSE,751671,188706,INC
